X,Y
-176500.0,-1689500.0
-176000.0,-1689500.0
-175500.0,-1689500.0
-175000.0,-1689500.0
-174500.0,-1689500.0
-174000.0,-1689500.0
-173500.0,-1689500.0
-173000.0,-1689500.0
-172500.0,-1689500.0
-300000.0,-1689000.0
-299500.0,-1689000.0
-299000.0,-1689000.0
-298500.0,-1689000.0
-298000.0,-1689000.0
-297500.0,-1689000.0
-297000.0,-1689000.0
-296500.0,-1689000.0
-296000.0,-1689000.0
-295500.0,-1689000.0
-295000.0,-1689000.0
-294500.0,-1689000.0
-294000.0,-1689000.0
-293500.0,-1689000.0
-293000.0,-1689000.0
-292500.0,-1689000.0
-292000.0,-1689000.0
-291500.0,-1689000.0
-291000.0,-1689000.0
-290500.0,-1689000.0
-290000.0,-1689000.0
-289500.0,-1689000.0
-289000.0,-1689000.0
-288500.0,-1689000.0
-288000.0,-1689000.0
-287500.0,-1689000.0
-287000.0,-1689000.0
-286500.0,-1689000.0
-286000.0,-1689000.0
-285500.0,-1689000.0
-285000.0,-1689000.0
-284500.0,-1689000.0
-284000.0,-1689000.0
-283500.0,-1689000.0
-283000.0,-1689000.0
-282500.0,-1689000.0
-282000.0,-1689000.0
-281500.0,-1689000.0
-281000.0,-1689000.0
-280500.0,-1689000.0
-280000.0,-1689000.0
-279500.0,-1689000.0
-279000.0,-1689000.0
-278500.0,-1689000.0
-278000.0,-1689000.0
-277500.0,-1689000.0
-277000.0,-1689000.0
-276500.0,-1689000.0
-276000.0,-1689000.0
-275500.0,-1689000.0
-275000.0,-1689000.0
-274500.0,-1689000.0
-274000.0,-1689000.0
-273500.0,-1689000.0
-273000.0,-1689000.0
-272500.0,-1689000.0
-272000.0,-1689000.0
-271500.0,-1689000.0
-271000.0,-1689000.0
-270500.0,-1689000.0
-270000.0,-1689000.0
-269500.0,-1689000.0
-269000.0,-1689000.0
-268500.0,-1689000.0
-268000.0,-1689000.0
-267500.0,-1689000.0
-267000.0,-1689000.0
-266500.0,-1689000.0
-266000.0,-1689000.0
-265500.0,-1689000.0
-265000.0,-1689000.0
-264500.0,-1689000.0
-264000.0,-1689000.0
-263500.0,-1689000.0
-263000.0,-1689000.0
-262500.0,-1689000.0
-262000.0,-1689000.0
-261500.0,-1689000.0
-261000.0,-1689000.0
-260500.0,-1689000.0
-260000.0,-1689000.0
-259500.0,-1689000.0
-259000.0,-1689000.0
-258500.0,-1689000.0
-258000.0,-1689000.0
-257500.0,-1689000.0
-257000.0,-1689000.0
-256500.0,-1689000.0
-256000.0,-1689000.0
-255500.0,-1689000.0
-255000.0,-1689000.0
-254500.0,-1689000.0
-254000.0,-1689000.0
-253500.0,-1689000.0
-253000.0,-1689000.0
-252500.0,-1689000.0
-252000.0,-1689000.0
-251500.0,-1689000.0
-251000.0,-1689000.0
-250500.0,-1689000.0
-250000.0,-1689000.0
-249500.0,-1689000.0
-249000.0,-1689000.0
-248500.0,-1689000.0
-248000.0,-1689000.0
-247500.0,-1689000.0
-247000.0,-1689000.0
-246500.0,-1689000.0
-246000.0,-1689000.0
-245500.0,-1689000.0
-245000.0,-1689000.0
-244500.0,-1689000.0
-244000.0,-1689000.0
-243500.0,-1689000.0
-243000.0,-1689000.0
-242500.0,-1689000.0
-242000.0,-1689000.0
-241500.0,-1689000.0
-241000.0,-1689000.0
-240500.0,-1689000.0
-240000.0,-1689000.0
-239500.0,-1689000.0
-239000.0,-1689000.0
-238500.0,-1689000.0
-238000.0,-1689000.0
-237500.0,-1689000.0
-237000.0,-1689000.0
-236500.0,-1689000.0
-236000.0,-1689000.0
-235500.0,-1689000.0
-235000.0,-1689000.0
-234500.0,-1689000.0
-234000.0,-1689000.0
-233500.0,-1689000.0
-233000.0,-1689000.0
-232500.0,-1689000.0
-232000.0,-1689000.0
-231500.0,-1689000.0
-231000.0,-1689000.0
-230500.0,-1689000.0
-230000.0,-1689000.0
-229500.0,-1689000.0
-229000.0,-1689000.0
-228500.0,-1689000.0
-228000.0,-1689000.0
-227500.0,-1689000.0
-227000.0,-1689000.0
-226500.0,-1689000.0
-226000.0,-1689000.0
-225500.0,-1689000.0
-225000.0,-1689000.0
-224500.0,-1689000.0
-224000.0,-1689000.0
-223500.0,-1689000.0
-223000.0,-1689000.0
-222500.0,-1689000.0
-222000.0,-1689000.0
-221500.0,-1689000.0
-221000.0,-1689000.0
-220500.0,-1689000.0
-220000.0,-1689000.0
-219500.0,-1689000.0
-219000.0,-1689000.0
-218500.0,-1689000.0
-218000.0,-1689000.0
-217500.0,-1689000.0
-217000.0,-1689000.0
-216500.0,-1689000.0
-216000.0,-1689000.0
-215500.0,-1689000.0
-215000.0,-1689000.0
-214500.0,-1689000.0
-214000.0,-1689000.0
-213500.0,-1689000.0
-213000.0,-1689000.0
-212500.0,-1689000.0
-212000.0,-1689000.0
-211500.0,-1689000.0
-211000.0,-1689000.0
-210500.0,-1689000.0
-210000.0,-1689000.0
-209500.0,-1689000.0
-209000.0,-1689000.0
-208500.0,-1689000.0
-208000.0,-1689000.0
-207500.0,-1689000.0
-207000.0,-1689000.0
-206500.0,-1689000.0
-206000.0,-1689000.0
-205500.0,-1689000.0
-205000.0,-1689000.0
-204500.0,-1689000.0
-204000.0,-1689000.0
-203500.0,-1689000.0
-203000.0,-1689000.0
-202500.0,-1689000.0
-202000.0,-1689000.0
-201500.0,-1689000.0
-201000.0,-1689000.0
-200500.0,-1689000.0
-200000.0,-1689000.0
-199500.0,-1689000.0
-199000.0,-1689000.0
-198500.0,-1689000.0
-198000.0,-1689000.0
-197500.0,-1689000.0
-197000.0,-1689000.0
-196500.0,-1689000.0
-196000.0,-1689000.0
-195500.0,-1689000.0
-195000.0,-1689000.0
-194500.0,-1689000.0
-194000.0,-1689000.0
-193500.0,-1689000.0
-193000.0,-1689000.0
-192500.0,-1689000.0
-192000.0,-1689000.0
-191500.0,-1689000.0
-191000.0,-1689000.0
-190500.0,-1689000.0
-190000.0,-1689000.0
-189500.0,-1689000.0
-189000.0,-1689000.0
-188500.0,-1689000.0
-188000.0,-1689000.0
-187500.0,-1689000.0
-187000.0,-1689000.0
-186500.0,-1689000.0
-186000.0,-1689000.0
-185500.0,-1689000.0
-185000.0,-1689000.0
-184500.0,-1689000.0
-184000.0,-1689000.0
-183500.0,-1689000.0
-183000.0,-1689000.0
-182500.0,-1689000.0
-182000.0,-1689000.0
-181500.0,-1689000.0
-181000.0,-1689000.0
-180500.0,-1689000.0
-180000.0,-1689000.0
-179500.0,-1689000.0
-179000.0,-1689000.0
-178500.0,-1689000.0
-178000.0,-1689000.0
-177500.0,-1689000.0
-177000.0,-1689000.0
-176500.0,-1689000.0
-176000.0,-1689000.0
-175500.0,-1689000.0
-175000.0,-1689000.0
-174500.0,-1689000.0
-174000.0,-1689000.0
-173500.0,-1689000.0
-173000.0,-1689000.0
-172500.0,-1689000.0
-300000.0,-1688500.0
-299500.0,-1688500.0
-299000.0,-1688500.0
-298500.0,-1688500.0
-298000.0,-1688500.0
-297500.0,-1688500.0
-297000.0,-1688500.0
-296500.0,-1688500.0
-296000.0,-1688500.0
-295500.0,-1688500.0
-295000.0,-1688500.0
-294500.0,-1688500.0
-294000.0,-1688500.0
-293500.0,-1688500.0
-293000.0,-1688500.0
-292500.0,-1688500.0
-292000.0,-1688500.0
-291500.0,-1688500.0
-291000.0,-1688500.0
-290500.0,-1688500.0
-290000.0,-1688500.0
-289500.0,-1688500.0
-289000.0,-1688500.0
-288500.0,-1688500.0
-288000.0,-1688500.0
-287500.0,-1688500.0
-287000.0,-1688500.0
-286500.0,-1688500.0
-286000.0,-1688500.0
-285500.0,-1688500.0
-285000.0,-1688500.0
-284500.0,-1688500.0
-284000.0,-1688500.0
-283500.0,-1688500.0
-283000.0,-1688500.0
-282500.0,-1688500.0
-282000.0,-1688500.0
-281500.0,-1688500.0
-281000.0,-1688500.0
-280500.0,-1688500.0
-280000.0,-1688500.0
-279500.0,-1688500.0
-279000.0,-1688500.0
-278500.0,-1688500.0
-278000.0,-1688500.0
-277500.0,-1688500.0
-277000.0,-1688500.0
-276500.0,-1688500.0
-276000.0,-1688500.0
-275500.0,-1688500.0
-275000.0,-1688500.0
-274500.0,-1688500.0
-274000.0,-1688500.0
-273500.0,-1688500.0
-273000.0,-1688500.0
-272500.0,-1688500.0
-272000.0,-1688500.0
-271500.0,-1688500.0
-271000.0,-1688500.0
-270500.0,-1688500.0
-270000.0,-1688500.0
-269500.0,-1688500.0
-269000.0,-1688500.0
-268500.0,-1688500.0
-268000.0,-1688500.0
-267500.0,-1688500.0
-267000.0,-1688500.0
-266500.0,-1688500.0
-266000.0,-1688500.0
-265500.0,-1688500.0
-265000.0,-1688500.0
-264500.0,-1688500.0
-264000.0,-1688500.0
-263500.0,-1688500.0
-263000.0,-1688500.0
-262500.0,-1688500.0
-262000.0,-1688500.0
-261500.0,-1688500.0
-261000.0,-1688500.0
-260500.0,-1688500.0
-260000.0,-1688500.0
-259500.0,-1688500.0
-259000.0,-1688500.0
-258500.0,-1688500.0
-258000.0,-1688500.0
-257500.0,-1688500.0
-257000.0,-1688500.0
-256500.0,-1688500.0
-256000.0,-1688500.0
-255500.0,-1688500.0
-255000.0,-1688500.0
-254500.0,-1688500.0
-254000.0,-1688500.0
-253500.0,-1688500.0
-253000.0,-1688500.0
-252500.0,-1688500.0
-252000.0,-1688500.0
-251500.0,-1688500.0
-251000.0,-1688500.0
-250500.0,-1688500.0
-250000.0,-1688500.0
-249500.0,-1688500.0
-249000.0,-1688500.0
-248500.0,-1688500.0
-248000.0,-1688500.0
-247500.0,-1688500.0
-247000.0,-1688500.0
-246500.0,-1688500.0
-246000.0,-1688500.0
-245500.0,-1688500.0
-245000.0,-1688500.0
-244500.0,-1688500.0
-244000.0,-1688500.0
-243500.0,-1688500.0
-243000.0,-1688500.0
-242500.0,-1688500.0
-242000.0,-1688500.0
-241500.0,-1688500.0
-241000.0,-1688500.0
-240500.0,-1688500.0
-240000.0,-1688500.0
-239500.0,-1688500.0
-239000.0,-1688500.0
-238500.0,-1688500.0
-238000.0,-1688500.0
-237500.0,-1688500.0
-237000.0,-1688500.0
-236500.0,-1688500.0
-236000.0,-1688500.0
-235500.0,-1688500.0
-235000.0,-1688500.0
-234500.0,-1688500.0
-234000.0,-1688500.0
-233500.0,-1688500.0
-233000.0,-1688500.0
-232500.0,-1688500.0
-232000.0,-1688500.0
-231500.0,-1688500.0
-231000.0,-1688500.0
-230500.0,-1688500.0
-230000.0,-1688500.0
-229500.0,-1688500.0
-229000.0,-1688500.0
-228500.0,-1688500.0
-228000.0,-1688500.0
-227500.0,-1688500.0
-227000.0,-1688500.0
-226500.0,-1688500.0
-226000.0,-1688500.0
-225500.0,-1688500.0
-225000.0,-1688500.0
-224500.0,-1688500.0
-224000.0,-1688500.0
-223500.0,-1688500.0
-223000.0,-1688500.0
-222500.0,-1688500.0
-222000.0,-1688500.0
-221500.0,-1688500.0
-221000.0,-1688500.0
-220500.0,-1688500.0
-220000.0,-1688500.0
-219500.0,-1688500.0
-219000.0,-1688500.0
-218500.0,-1688500.0
-218000.0,-1688500.0
-217500.0,-1688500.0
-217000.0,-1688500.0
-216500.0,-1688500.0
-216000.0,-1688500.0
-215500.0,-1688500.0
-215000.0,-1688500.0
-214500.0,-1688500.0
-214000.0,-1688500.0
-213500.0,-1688500.0
-213000.0,-1688500.0
-212500.0,-1688500.0
-212000.0,-1688500.0
-211500.0,-1688500.0
-211000.0,-1688500.0
-210500.0,-1688500.0
-210000.0,-1688500.0
-209500.0,-1688500.0
-209000.0,-1688500.0
-208500.0,-1688500.0
-208000.0,-1688500.0
-207500.0,-1688500.0
-207000.0,-1688500.0
-206500.0,-1688500.0
-206000.0,-1688500.0
-205500.0,-1688500.0
-205000.0,-1688500.0
-204500.0,-1688500.0
-204000.0,-1688500.0
-203500.0,-1688500.0
-203000.0,-1688500.0
-202500.0,-1688500.0
-202000.0,-1688500.0
-201500.0,-1688500.0
-201000.0,-1688500.0
-200500.0,-1688500.0
-200000.0,-1688500.0
-199500.0,-1688500.0
-199000.0,-1688500.0
-198500.0,-1688500.0
-198000.0,-1688500.0
-197500.0,-1688500.0
-197000.0,-1688500.0
-196500.0,-1688500.0
-196000.0,-1688500.0
-195500.0,-1688500.0
-195000.0,-1688500.0
-194500.0,-1688500.0
-194000.0,-1688500.0
-193500.0,-1688500.0
-193000.0,-1688500.0
-192500.0,-1688500.0
-192000.0,-1688500.0
-191500.0,-1688500.0
-191000.0,-1688500.0
-190500.0,-1688500.0
-190000.0,-1688500.0
-189500.0,-1688500.0
-189000.0,-1688500.0
-188500.0,-1688500.0
-188000.0,-1688500.0
-187500.0,-1688500.0
-187000.0,-1688500.0
-186500.0,-1688500.0
-186000.0,-1688500.0
-185500.0,-1688500.0
-185000.0,-1688500.0
-184500.0,-1688500.0
-184000.0,-1688500.0
-183500.0,-1688500.0
-183000.0,-1688500.0
-182500.0,-1688500.0
-182000.0,-1688500.0
-181500.0,-1688500.0
-181000.0,-1688500.0
-180500.0,-1688500.0
-180000.0,-1688500.0
-179500.0,-1688500.0
-179000.0,-1688500.0
-178500.0,-1688500.0
-178000.0,-1688500.0
-177500.0,-1688500.0
-177000.0,-1688500.0
-176500.0,-1688500.0
-176000.0,-1688500.0
-175500.0,-1688500.0
-175000.0,-1688500.0
-174500.0,-1688500.0
-174000.0,-1688500.0
-173500.0,-1688500.0
-173000.0,-1688500.0
-172500.0,-1688500.0
-300000.0,-1688000.0
-299500.0,-1688000.0
-299000.0,-1688000.0
-298500.0,-1688000.0
-298000.0,-1688000.0
-297500.0,-1688000.0
-297000.0,-1688000.0
-296500.0,-1688000.0
-296000.0,-1688000.0
-295500.0,-1688000.0
-295000.0,-1688000.0
-294500.0,-1688000.0
-294000.0,-1688000.0
-293500.0,-1688000.0
-293000.0,-1688000.0
-292500.0,-1688000.0
-292000.0,-1688000.0
-291500.0,-1688000.0
-291000.0,-1688000.0
-290500.0,-1688000.0
-290000.0,-1688000.0
-289500.0,-1688000.0
-289000.0,-1688000.0
-288500.0,-1688000.0
-288000.0,-1688000.0
-287500.0,-1688000.0
-287000.0,-1688000.0
-286500.0,-1688000.0
-286000.0,-1688000.0
-285500.0,-1688000.0
-285000.0,-1688000.0
-284500.0,-1688000.0
-284000.0,-1688000.0
-283500.0,-1688000.0
-283000.0,-1688000.0
-282500.0,-1688000.0
-282000.0,-1688000.0
-281500.0,-1688000.0
-281000.0,-1688000.0
-280500.0,-1688000.0
-280000.0,-1688000.0
-279500.0,-1688000.0
-279000.0,-1688000.0
-278500.0,-1688000.0
-278000.0,-1688000.0
-277500.0,-1688000.0
-277000.0,-1688000.0
-276500.0,-1688000.0
-276000.0,-1688000.0
-275500.0,-1688000.0
-275000.0,-1688000.0
-274500.0,-1688000.0
-274000.0,-1688000.0
-273500.0,-1688000.0
-273000.0,-1688000.0
-272500.0,-1688000.0
-272000.0,-1688000.0
-271500.0,-1688000.0
-271000.0,-1688000.0
-270500.0,-1688000.0
-270000.0,-1688000.0
-269500.0,-1688000.0
-269000.0,-1688000.0
-268500.0,-1688000.0
-268000.0,-1688000.0
-267500.0,-1688000.0
-267000.0,-1688000.0
-266500.0,-1688000.0
-266000.0,-1688000.0
-265500.0,-1688000.0
-265000.0,-1688000.0
-264500.0,-1688000.0
-264000.0,-1688000.0
-263500.0,-1688000.0
-263000.0,-1688000.0
-262500.0,-1688000.0
-262000.0,-1688000.0
-261500.0,-1688000.0
-261000.0,-1688000.0
-260500.0,-1688000.0
-260000.0,-1688000.0
-259500.0,-1688000.0
-259000.0,-1688000.0
-258500.0,-1688000.0
-258000.0,-1688000.0
-257500.0,-1688000.0
-257000.0,-1688000.0
-256500.0,-1688000.0
-256000.0,-1688000.0
-255500.0,-1688000.0
-255000.0,-1688000.0
-254500.0,-1688000.0
-254000.0,-1688000.0
-253500.0,-1688000.0
-253000.0,-1688000.0
-252500.0,-1688000.0
-252000.0,-1688000.0
-251500.0,-1688000.0
-251000.0,-1688000.0
-250500.0,-1688000.0
-250000.0,-1688000.0
-249500.0,-1688000.0
-249000.0,-1688000.0
-248500.0,-1688000.0
-248000.0,-1688000.0
-247500.0,-1688000.0
-247000.0,-1688000.0
-246500.0,-1688000.0
-246000.0,-1688000.0
-245500.0,-1688000.0
-245000.0,-1688000.0
-244500.0,-1688000.0
-244000.0,-1688000.0
-243500.0,-1688000.0
-243000.0,-1688000.0
-242500.0,-1688000.0
-242000.0,-1688000.0
-241500.0,-1688000.0
-241000.0,-1688000.0
-240500.0,-1688000.0
-240000.0,-1688000.0
-239500.0,-1688000.0
-239000.0,-1688000.0
-238500.0,-1688000.0
-238000.0,-1688000.0
-237500.0,-1688000.0
-237000.0,-1688000.0
-236500.0,-1688000.0
-236000.0,-1688000.0
-235500.0,-1688000.0
-235000.0,-1688000.0
-234500.0,-1688000.0
-234000.0,-1688000.0
-233500.0,-1688000.0
-233000.0,-1688000.0
-232500.0,-1688000.0
-232000.0,-1688000.0
-231500.0,-1688000.0
-231000.0,-1688000.0
-230500.0,-1688000.0
-230000.0,-1688000.0
-229500.0,-1688000.0
-229000.0,-1688000.0
-228500.0,-1688000.0
-228000.0,-1688000.0
-227500.0,-1688000.0
-227000.0,-1688000.0
-226500.0,-1688000.0
-226000.0,-1688000.0
-225500.0,-1688000.0
-225000.0,-1688000.0
-224500.0,-1688000.0
-224000.0,-1688000.0
-223500.0,-1688000.0
-223000.0,-1688000.0
-222500.0,-1688000.0
-222000.0,-1688000.0
-221500.0,-1688000.0
-221000.0,-1688000.0
-220500.0,-1688000.0
-220000.0,-1688000.0
-219500.0,-1688000.0
-219000.0,-1688000.0
-218500.0,-1688000.0
-218000.0,-1688000.0
-217500.0,-1688000.0
-217000.0,-1688000.0
-216500.0,-1688000.0
-216000.0,-1688000.0
-215500.0,-1688000.0
-215000.0,-1688000.0
-214500.0,-1688000.0
-214000.0,-1688000.0
-213500.0,-1688000.0
-213000.0,-1688000.0
-212500.0,-1688000.0
-212000.0,-1688000.0
-211500.0,-1688000.0
-211000.0,-1688000.0
-210500.0,-1688000.0
-210000.0,-1688000.0
-209500.0,-1688000.0
-209000.0,-1688000.0
-208500.0,-1688000.0
-208000.0,-1688000.0
-207500.0,-1688000.0
-207000.0,-1688000.0
-206500.0,-1688000.0
-206000.0,-1688000.0
-205500.0,-1688000.0
-205000.0,-1688000.0
-204500.0,-1688000.0
-204000.0,-1688000.0
-203500.0,-1688000.0
-203000.0,-1688000.0
-202500.0,-1688000.0
-202000.0,-1688000.0
-201500.0,-1688000.0
-201000.0,-1688000.0
-200500.0,-1688000.0
-200000.0,-1688000.0
-199500.0,-1688000.0
-199000.0,-1688000.0
-198500.0,-1688000.0
-198000.0,-1688000.0
-197500.0,-1688000.0
-197000.0,-1688000.0
-196500.0,-1688000.0
-196000.0,-1688000.0
-195500.0,-1688000.0
-195000.0,-1688000.0
-194500.0,-1688000.0
-194000.0,-1688000.0
-193500.0,-1688000.0
-193000.0,-1688000.0
-192500.0,-1688000.0
-192000.0,-1688000.0
-191500.0,-1688000.0
-191000.0,-1688000.0
-190500.0,-1688000.0
-190000.0,-1688000.0
-189500.0,-1688000.0
-189000.0,-1688000.0
-188500.0,-1688000.0
-188000.0,-1688000.0
-187500.0,-1688000.0
-187000.0,-1688000.0
-186500.0,-1688000.0
-186000.0,-1688000.0
-185500.0,-1688000.0
-185000.0,-1688000.0
-184500.0,-1688000.0
-184000.0,-1688000.0
-183500.0,-1688000.0
-183000.0,-1688000.0
-182500.0,-1688000.0
-182000.0,-1688000.0
-181500.0,-1688000.0
-181000.0,-1688000.0
-180500.0,-1688000.0
-180000.0,-1688000.0
-179500.0,-1688000.0
-179000.0,-1688000.0
-178500.0,-1688000.0
-178000.0,-1688000.0
-177500.0,-1688000.0
-177000.0,-1688000.0
-176500.0,-1688000.0
-176000.0,-1688000.0
-175500.0,-1688000.0
-175000.0,-1688000.0
-174500.0,-1688000.0
-174000.0,-1688000.0
-173500.0,-1688000.0
-173000.0,-1688000.0
-172500.0,-1688000.0
-300000.0,-1687500.0
-299500.0,-1687500.0
-299000.0,-1687500.0
-298500.0,-1687500.0
-298000.0,-1687500.0
-297500.0,-1687500.0
-297000.0,-1687500.0
-296500.0,-1687500.0
-296000.0,-1687500.0
-295500.0,-1687500.0
-295000.0,-1687500.0
-294500.0,-1687500.0
-294000.0,-1687500.0
-293500.0,-1687500.0
-293000.0,-1687500.0
-292500.0,-1687500.0
-292000.0,-1687500.0
-291500.0,-1687500.0
-291000.0,-1687500.0
-290500.0,-1687500.0
-290000.0,-1687500.0
-289500.0,-1687500.0
-289000.0,-1687500.0
-288500.0,-1687500.0
-288000.0,-1687500.0
-287500.0,-1687500.0
-287000.0,-1687500.0
-286500.0,-1687500.0
-286000.0,-1687500.0
-285500.0,-1687500.0
-285000.0,-1687500.0
-284500.0,-1687500.0
-284000.0,-1687500.0
-283500.0,-1687500.0
-283000.0,-1687500.0
-282500.0,-1687500.0
-282000.0,-1687500.0
-281500.0,-1687500.0
-281000.0,-1687500.0
-280500.0,-1687500.0
-280000.0,-1687500.0
-279500.0,-1687500.0
-279000.0,-1687500.0
-278500.0,-1687500.0
-278000.0,-1687500.0
-277500.0,-1687500.0
-277000.0,-1687500.0
-276500.0,-1687500.0
-276000.0,-1687500.0
-275500.0,-1687500.0
-275000.0,-1687500.0
-274500.0,-1687500.0
-274000.0,-1687500.0
-273500.0,-1687500.0
-273000.0,-1687500.0
-272500.0,-1687500.0
-272000.0,-1687500.0
-271500.0,-1687500.0
-271000.0,-1687500.0
-270500.0,-1687500.0
-270000.0,-1687500.0
-269500.0,-1687500.0
-269000.0,-1687500.0
-268500.0,-1687500.0
-268000.0,-1687500.0
-267500.0,-1687500.0
-267000.0,-1687500.0
-266500.0,-1687500.0
-266000.0,-1687500.0
-265500.0,-1687500.0
-265000.0,-1687500.0
-264500.0,-1687500.0
-264000.0,-1687500.0
-263500.0,-1687500.0
-263000.0,-1687500.0
-262500.0,-1687500.0
-262000.0,-1687500.0
-261500.0,-1687500.0
-261000.0,-1687500.0
-260500.0,-1687500.0
-260000.0,-1687500.0
-259500.0,-1687500.0
-259000.0,-1687500.0
-258500.0,-1687500.0
-258000.0,-1687500.0
-257500.0,-1687500.0
-257000.0,-1687500.0
-256500.0,-1687500.0
-256000.0,-1687500.0
-255500.0,-1687500.0
-255000.0,-1687500.0
-254500.0,-1687500.0
-254000.0,-1687500.0
-253500.0,-1687500.0
-253000.0,-1687500.0
-252500.0,-1687500.0
-252000.0,-1687500.0
-251500.0,-1687500.0
-251000.0,-1687500.0
-250500.0,-1687500.0
-250000.0,-1687500.0
-249500.0,-1687500.0
-249000.0,-1687500.0
-248500.0,-1687500.0
-248000.0,-1687500.0
-247500.0,-1687500.0
-247000.0,-1687500.0
-246500.0,-1687500.0
-246000.0,-1687500.0
-245500.0,-1687500.0
-245000.0,-1687500.0
-244500.0,-1687500.0
-244000.0,-1687500.0
-243500.0,-1687500.0
-243000.0,-1687500.0
-242500.0,-1687500.0
-242000.0,-1687500.0
-241500.0,-1687500.0
-241000.0,-1687500.0
-240500.0,-1687500.0
-240000.0,-1687500.0
-239500.0,-1687500.0
-239000.0,-1687500.0
-238500.0,-1687500.0
-238000.0,-1687500.0
-237500.0,-1687500.0
-237000.0,-1687500.0
-236500.0,-1687500.0
-236000.0,-1687500.0
-235500.0,-1687500.0
-235000.0,-1687500.0
-234500.0,-1687500.0
-234000.0,-1687500.0
-233500.0,-1687500.0
-233000.0,-1687500.0
-232500.0,-1687500.0
-232000.0,-1687500.0
-231500.0,-1687500.0
-231000.0,-1687500.0
-230500.0,-1687500.0
-230000.0,-1687500.0
-229500.0,-1687500.0
-229000.0,-1687500.0
-228500.0,-1687500.0
-228000.0,-1687500.0
-227500.0,-1687500.0
-227000.0,-1687500.0
-226500.0,-1687500.0
-226000.0,-1687500.0
-225500.0,-1687500.0
-225000.0,-1687500.0
-224500.0,-1687500.0
-224000.0,-1687500.0
-223500.0,-1687500.0
-223000.0,-1687500.0
-222500.0,-1687500.0
-222000.0,-1687500.0
-221500.0,-1687500.0
-221000.0,-1687500.0
-220500.0,-1687500.0
-220000.0,-1687500.0
-219500.0,-1687500.0
-219000.0,-1687500.0
-218500.0,-1687500.0
-218000.0,-1687500.0
-217500.0,-1687500.0
-217000.0,-1687500.0
-216500.0,-1687500.0
-216000.0,-1687500.0
-215500.0,-1687500.0
-215000.0,-1687500.0
-214500.0,-1687500.0
-214000.0,-1687500.0
-213500.0,-1687500.0
-213000.0,-1687500.0
-212500.0,-1687500.0
-212000.0,-1687500.0
-211500.0,-1687500.0
-211000.0,-1687500.0
-210500.0,-1687500.0
-210000.0,-1687500.0
-209500.0,-1687500.0
-209000.0,-1687500.0
-208500.0,-1687500.0
-208000.0,-1687500.0
-207500.0,-1687500.0
-207000.0,-1687500.0
-206500.0,-1687500.0
-206000.0,-1687500.0
-205500.0,-1687500.0
-205000.0,-1687500.0
-204500.0,-1687500.0
-204000.0,-1687500.0
-203500.0,-1687500.0
-203000.0,-1687500.0
-202500.0,-1687500.0
-202000.0,-1687500.0
-201500.0,-1687500.0
-201000.0,-1687500.0
-200500.0,-1687500.0
-200000.0,-1687500.0
-199500.0,-1687500.0
-199000.0,-1687500.0
-198500.0,-1687500.0
-198000.0,-1687500.0
-197500.0,-1687500.0
-197000.0,-1687500.0
-196500.0,-1687500.0
-196000.0,-1687500.0
-195500.0,-1687500.0
-195000.0,-1687500.0
-194500.0,-1687500.0
-194000.0,-1687500.0
-193500.0,-1687500.0
-193000.0,-1687500.0
-192500.0,-1687500.0
-192000.0,-1687500.0
-191500.0,-1687500.0
-191000.0,-1687500.0
-190500.0,-1687500.0
-190000.0,-1687500.0
-189500.0,-1687500.0
-189000.0,-1687500.0
-188500.0,-1687500.0
-188000.0,-1687500.0
-187500.0,-1687500.0
-187000.0,-1687500.0
-186500.0,-1687500.0
-186000.0,-1687500.0
-185500.0,-1687500.0
-185000.0,-1687500.0
-184500.0,-1687500.0
-184000.0,-1687500.0
-183500.0,-1687500.0
-183000.0,-1687500.0
-182500.0,-1687500.0
-182000.0,-1687500.0
-181500.0,-1687500.0
-181000.0,-1687500.0
-180500.0,-1687500.0
-180000.0,-1687500.0
-179500.0,-1687500.0
-179000.0,-1687500.0
-178500.0,-1687500.0
-178000.0,-1687500.0
-177500.0,-1687500.0
-177000.0,-1687500.0
-176500.0,-1687500.0
-176000.0,-1687500.0
-175500.0,-1687500.0
-175000.0,-1687500.0
-174500.0,-1687500.0
-174000.0,-1687500.0
-173500.0,-1687500.0
-173000.0,-1687500.0
-172500.0,-1687500.0
-300000.0,-1687000.0
-299500.0,-1687000.0
-299000.0,-1687000.0
-298500.0,-1687000.0
-298000.0,-1687000.0
-297500.0,-1687000.0
-297000.0,-1687000.0
-296500.0,-1687000.0
-296000.0,-1687000.0
-295500.0,-1687000.0
-295000.0,-1687000.0
-294500.0,-1687000.0
-294000.0,-1687000.0
-293500.0,-1687000.0
-293000.0,-1687000.0
-292500.0,-1687000.0
-292000.0,-1687000.0
-291500.0,-1687000.0
-291000.0,-1687000.0
-290500.0,-1687000.0
-290000.0,-1687000.0
-289500.0,-1687000.0
-289000.0,-1687000.0
-288500.0,-1687000.0
-288000.0,-1687000.0
-287500.0,-1687000.0
-287000.0,-1687000.0
-286500.0,-1687000.0
-286000.0,-1687000.0
-285500.0,-1687000.0
-285000.0,-1687000.0
-284500.0,-1687000.0
-284000.0,-1687000.0
-283500.0,-1687000.0
